,,Acceleration,,Skidpad,,Autocross,,Endurance,,,
,,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,,
,,3.746,5.619,4.934,6.1675,45.734,66.3143,1369.936,1986.4072,,
1.4,5.7,3.460,123.662,3.834,205.297,47.155,113.493,51.630,1135.850,416.016,858.468
1.4,6,3.461,123.628,3.809,209.729,46.845,115.947,51.281,1128.180,422.622,871.925
1.6,0,3.466,123.157,4.291,138.926,53.560,69.210,58.401,1284.819,303.366,634.660
1.6,0.3,3.466,123.122,4.269,141.743,53.210,71.351,58.043,1276.956,308.656,644.872
1.6,0.6,3.467,123.086,4.246,144.620,52.859,73.529,57.686,1269.083,314.017,655.252
1.6,0.9,3.467,123.050,4.223,147.561,52.508,75.742,57.328,1261.210,319.445,665.798
1.6,1.2,3.467,123.014,4.199,150.567,52.157,77.981,56.970,1253.330,324.946,676.508
1.6,1.5,3.468,122.978,4.176,153.640,51.808,80.236,56.610,1245.428,330.533,687.387
1.6,1.8,3.468,122.942,4.153,156.783,51.462,82.497,56.252,1237.545,336.177,698.399
1.6,2.1,3.469,122.906,4.129,159.998,51.122,84.756,55.895,1229.681,341.880,709.539
1.6,2.4,3.469,122.870,4.105,163.287,50.787,87.008,55.538,1221.845,347.635,720.800
1.6,2.7,3.469,122.833,4.081,166.654,50.454,89.277,55.184,1214.041,353.441,732.205
1.6,3,3.470,122.797,4.057,170.100,50.122,91.572,54.828,1206.212,359.341,743.810
1.6,3.3,3.470,122.761,4.033,173.630,49.790,93.893,54.471,1198.368,365.330,755.613
1.6,3.6,3.471,122.724,4.009,177.245,49.458,96.250,54.116,1190.554,371.374,767.594
1.6,3.9,3.471,122.688,3.984,180.949,49.125,98.643,53.764,1182.806,377.446,779.726
1.6,4.2,3.472,122.651,3.960,184.746,48.794,101.052,53.413,1175.090,383.572,792.021
1.6,4.5,3.472,122.614,3.935,188.639,48.467,103.471,53.065,1167.440,389.726,804.450
1.6,4.8,3.472,122.578,3.910,192.631,48.144,105.885,52.721,1159.866,395.899,816.992
1.6,5.1,3.473,122.541,3.885,196.726,47.828,108.279,52.379,1152.335,402.117,829.663
1.6,5.4,3.473,122.504,3.860,200.929,47.518,110.666,52.035,1144.771,408.445,842.543
1.6,5.7,3.474,122.467,3.834,205.244,47.208,113.078,51.689,1137.162,414.895,855.684
1.6,6,3.474,122.430,3.809,209.675,46.899,115.514,51.341,1129.499,421.479,869.098
1.8,0,3.480,121.929,4.292,138.889,53.587,69.042,58.446,1285.823,302.696,632.557
1.8,0.3,3.480,121.891,4.269,141.705,53.238,71.177,58.090,1277.983,307.961,642.734
1.8,0.6,3.481,121.853,4.246,144.582,52.889,73.346,57.733,1270.118,313.308,653.088
1.8,0.9,3.481,121.814,4.223,147.521,52.538,75.548,57.376,1262.267,318.712,663.596
1.8,1.2,3.481,121.776,4.200,150.526,52.188,77.779,57.018,1254.405,324.192,674.274
